S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Page
38.,TechD Cybersec.,532.75,42.21,398.48,0.00,6.37,48.83,18.18,41.15,81.46,2
39.,RRPSemiconductor,10551.35,,14375.16,0.00,-7.15,-492.86,-6.82,-220.49,80.21,2
40.,Family Care,3.41,,18.42,0.00,-0.96,54.29,0.06,100.00,79.25,2
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,2
41.,DCM,88.21,6.29,164.76,0.00,1.45,104.23,17.62,5.95,78.63,2
42.,Standard Battery,36.89,,19.08,0.00,-0.14,-40.00,0.00,,78.10,2
43.,Oswal Pumps,399.25,13.52,4550.55,0.00,97.50,48.24,539.64,73.90,77.91,2
44.,Indosolar,434.40,7.39,1807.26,0.00,41.47,304.98,199.53,93.70,77.05,2
45.,Sunsky Logistics,66.97,27.76,83.28,0.00,1.80,26.76,12.23,17.82,75.19,2
46.,GK Energy,118.21,16.48,2397.50,0.00,46.46,36.01,358.50,32.71,74.29,2
47.,Swojas Foods,12.28,12.97,40.60,0.00,0.36,33.33,35.25,350.19,73.33,2
48.,Marc Loire,37.00,7.30,26.27,0.00,1.18,-48.47,15.32,1.06,72.75,2
49.,Studio LSD,10.50,46.97,54.49,0.00,-3.49,-149.64,39.27,-37.20,72.75,2
50.,Maha Rashtra Apx,94.72,,134.03,0.00,-30.69,-256.20,0.06,-87.50,72.01,2
51.,Shilchar Tech.,2958.20,19.06,3384.24,0.42,45.94,40.36,171.28,31.19,71.30,3
52.,Game Changers,131.00,15.42,234.40,0.00,8.31,60.42,57.23,3.87,71.16,3
53.,Australian Prem,300.10,11.16,605.00,0.03,28.13,114.41,300.77,83.88,70.83,3
54.,Meghna Infracon,580.00,129.10,1259.98,0.01,1.20,250.00,8.78,166.87,70.09,3
55.,Esab India,5442.00,45.60,8376.88,1.19,79.20,27.36,381.55,12.67,70.03,3
56.,Network People,1294.30,95.77,2698.70,0.15,9.84,-45.79,46.68,-30.07,69.23,3
57.,GHV Infra,245.35,53.78,1768.36,0.00,11.22,3907.14,183.77,17401.90,68.52,3
58.,Ontic Finserve,1.34,10.96,12.06,0.00,0.31,-70.19,0.40,-71.43,68.44,3
59.,International Ge,296.95,25.12,12832.98,0.84,129.79,18.42,303.74,21.43,68.01,3
60.,NINtec Systems,336.30,21.11,624.71,0.00,7.87,20.89,41.69,23.05,67.11,3
61.,JD Cables,185.00,17.65,417.20,0.00,11.93,15.71,121.26,12.82,65.58,3
62.,Sharvaya Metals,142.00,8.13,142.43,0.00,9.39,128.47,89.97,117.79,65.49,3
63.,Dam Capital Advi,178.42,11.24,1261.18,0.56,52.11,140.14,106.99,69.13,64.78,3
64.,Prime Urban,8.54,9.85,22.75,0.00,0.33,170.21,0.00,,64.68,3
65.,TCS,3162.50,22.38,1144220.18,1.90,10720.00,6.69,67087.00,4.87,64.63,3
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,3
66.,Helloji Holidays,128.50,20.99,44.08,0.00,,,,,64.26,3
67.,Glaxosmi. Pharma,2313.40,41.11,39190.39,1.82,257.49,2.57,979.94,-3.05,63.25,3
68.,Adcounty Media.,112.80,16.13,253.81,0.00,8.45,30.80,33.75,12.80,62.93,3
69.,RNIT AI Solution,41.71,37.14,331.70,0.00,3.25,103.12,13.72,92.16,62.69,3
70.,Billionbrains,167.51,64.07,103413.92,0.00,546.93,-27.76,1216.07,24.78,62.57,3
71.,Neptune Pet.,196.00,16.59,444.01,0.00,14.55,12.88,406.57,19.29,62.28,3
72.,Savy Infra,143.70,9.14,299.02,0.00,18.29,,215.70,,61.88,3
73.,Infinity Infoway,401.00,43.56,218.67,0.00,2.80,29.63,8.15,23.67,61.71,3
74.,Chemkart India,100.70,6.40,121.84,0.00,10.15,-35.10,103.23,-8.75,61.51,3
75.,Nanta Tech,318.20,34.66,163.24,0.00,,,,,61.31,3
76.,Global Ocean,150.96,31.97,218.03,0.00,4.54,,107.29,,61.29,4
77.,Cochin Malabar,136.00,17.32,24.07,0.00,-0.09,40.00,0.00,,61.21,4
78.,Monolithisch Ind,485.95,60.08,1056.26,0.00,8.82,57.22,57.28,39.71,61.16,4
79.,Hindustan Zinc,698.70,25.29,295223.04,4.15,3879.00,45.84,10922.00,27.65,60.73,4
80.,Influx Health.,209.40,27.45,484.77,0.00,10.01,78.11,66.76,38.91,60.16,4
81.,Ingersoll-Rand,3147.60,37.55,9936.34,2.54,60.35,0.00,321.94,-0.05,60.02,4
82.,Crestchem,87.00,12.92,26.10,1.15,0.54,-46.00,7.19,-7.82,59.94,4
83.,EPW India,100.50,28.56,115.37,0.00,3.51,,38.36,,59.82,4
84.,Pajson Agro,152.90,17.82,364.05,0.00,14.20,,118.37,,59.48,4
85.,Owais Metal,248.25,8.95,451.38,0.00,25.21,1.98,122.62,16.64,59.47,4
86.,Spice IslandsInd,227.10,39.70,97.65,0.22,0.78,183.87,1.74,1640.00,59.45,4
87.,Page Industries,32880.00,47.99,36673.94,2.74,194.76,-0.26,1290.86,3.58,59.40,4
88.,Websol Energy,74.78,15.52,3156.19,0.00,46.32,10.34,168.22,17.19,59.25,4
89.,Sigma Solve,52.09,21.13,535.35,0.10,6.71,58.16,24.73,26.30,58.79,4
90.,Snehaa Organics,58.00,8.04,59.04,0.00,3.25,,13.79,,58.77,4
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,4
91.,PNGS Gargi FJ,1012.10,36.74,1059.70,0.00,10.27,101.77,46.45,102.40,57.93,4
92.,Bhadora Indust.,66.60,12.19,123.88,0.00,3.41,0.29,46.93,2.53,57.48,4
93.,Shekhawati Inds,13.60,11.69,46.88,0.00,-0.51,-133.77,2.14,-86.00,57.34,4
94.,Tenneco Clean,511.90,36.52,20660.50,0.00,150.68,10.00,1280.64,9.58,57.30,4
95.,LG Electronics,1399.90,46.25,95021.35,0.00,389.43,-27.30,6174.03,0.98,56.83,4
96.,Chatterbox Tech,57.42,8.29,81.21,0.00,4.70,25.33,35.98,33.41,56.72,4
97.,One Global Serv,529.05,23.56,1033.92,0.00,19.79,771.81,134.98,595.41,56.38,4
98.,Anand Rathi Wea.,2959.40,67.11,24569.13,0.35,100.19,29.66,289.62,22.18,56.26,4
99.,Swaraj Engines,3467.70,22.22,4213.21,3.01,42.10,39.50,473.20,36.96,56.21,4
100.,Gillette India,7986.50,45.35,26028.00,1.40,143.65,8.00,810.81,3.71,56.06,4
101.,Trade-Wings,797.70,54.14,239.31,0.00,-1.94,-46.97,58.90,12.25,55.63,5
102.,Gurunanak Agri.,30.40,7.65,36.48,0.00,2.09,-39.24,16.10,-34.45,55.48,5
103.,Telge Projects,102.00,16.42,99.86,0.00,1.93,157.33,16.74,118.82,55.40,5
104.,Sheshadri Indus.,18.18,1.67,9.02,0.00,1.48,20.33,7.57,-5.38,55.37,5
105.,Shakti Pumps,638.95,19.62,7884.51,0.16,90.71,-10.56,666.35,5.00,55.31,5
106.,Exim Routes,196.60,54.62,368.66,0.00,1.18,,43.83,,55.30,5
107.,Castrol India,183.68,18.60,18168.20,4.63,227.80,9.82,1362.75,5.79,55.16,5
108.,Optivalue Tek,79.00,14.18,184.95,0.00,7.23,13.50,30.49,34.73,54.90,5
109.,Cash UR Drive,121.00,10.47,213.51,0.00,10.88,31.08,77.88,22.40,54.81,5
110.,Cams Services,679.40,37.92,16841.53,1.83,121.98,3.53,366.97,5.59,54.75,5
111.,GE Vernova T&D,2712.70,75.51,69458.68,0.18,299.48,107.08,1538.46,38.88,54.74,5
112.,Rajesh Power,798.40,12.22,1437.71,0.13,58.06,119.76,637.82,103.74,54.71,5
113.,ACE Alpha Tech,84.00,11.68,147.49,0.00,7.52,23.68,8.98,12.25,54.34,5
114.,Hyundai Motor I,2263.20,32.76,183894.30,0.93,1570.25,17.38,17061.03,1.10,54.25,5
115.,Purple Wave Info,113.00,9.14,104.48,0.00,6.82,51.22,77.72,32.99,53.70,5
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,5
116.,Accelya Solution,1318.20,15.59,1967.58,6.83,29.61,-8.78,136.20,7.14,53.61,5
117.,Indian Energy Ex,127.53,25.28,11371.76,2.35,121.61,14.64,152.24,9.34,53.61,5
118.,Sathlokhar Sys.,357.10,15.87,861.97,0.00,27.98,70.09,248.99,75.51,53.42,5
119.,Arrow Greentech,425.30,12.60,641.69,0.94,15.74,-15.65,61.07,-5.81,53.25,5
120.,Life Insurance,802.45,9.93,507549.44,1.50,10095.92,30.66,241524.29,4.50,53.13,5
121.,Britannia Inds.,5835.00,60.66,140546.65,1.29,655.06,23.12,4840.63,3.71,52.99,5
122.,ARC Insulation,62.00,7.45,63.84,0.00,0.86,,10.02,,52.61,5
123.,Saatvik Green,363.15,19.43,4615.82,0.00,83.24,36.01,768.03,61.59,52.33,5
124.,Goenka Business,7.25,,9.43,0.00,-1.97,-398.48,31.41,-18.90,52.31,5
125.,Zelio E-Mobility,268.85,27.36,568.62,0.00,11.82,67.66,133.32,77.10,51.78,5
126.,Genesis IBRC,74.46,,96.80,0.00,-0.06,-101.64,0.00,-100.00,51.62,6
127.,Gujarat Kidney,99.36,83.25,783.39,0.00,,,,,51.52,6
128.,Infonative Solu.,27.95,8.67,33.11,0.00,1.52,-58.24,12.07,7.48,51.41,6
129.,Mehul Colours,73.00,12.34,77.01,0.00,3.29,28.52,14.21,31.45,51.28,6
130.,Meta Infotech,96.00,13.46,181.26,0.00,10.45,-18.80,210.15,14.21,51.14,6
131.,Pro FX,72.55,10.38,126.99,0.00,7.32,,79.36,,51.05,6
132.,Aayush Wellness,38.38,40.96,186.80,0.07,1.21,31.52,39.91,179.48,51.02,6
133.,SBEC Systems,18.99,9.45,18.99,0.00,-0.19,-173.08,0.92,19.48,50.83,6
134.,Alpex Solar,777.35,12.91,1985.59,0.00,52.67,123.32,522.92,177.56,50.48,6
135.,Pushpa Jewellers,101.75,10.30,246.47,0.00,11.03,17.47,170.98,18.37,50.45,6
136.,Tata Tele. Mah.,42.40,,8288.89,0.00,-150.43,53.55,294.31,-11.56,50.32,6
137.,Jeena Sikho,684.20,55.24,8504.66,0.16,110.10,134.85,364.13,70.05,50.24,6
138.,Atlanta Electric,728.30,35.86,5600.38,0.00,49.42,125.33,471.82,79.71,50.20,6
139.,LGT Business,63.65,9.42,59.66,0.00,3.70,43.41,70.57,27.98,50.12,6
140.,Unique Organics,91.85,7.16,54.68,0.00,2.23,-41.47,19.18,-46.15,50.11,6
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,6
141.,Jyoti Resins,1052.20,17.21,1262.64,0.86,17.16,5.34,74.38,13.99,49.98,6
142.,Icon Facil.,44.08,9.42,34.65,0.00,1.47,-34.96,29.79,5.75,49.71,6
143.,Infronics Sys.,21.60,171.20,17.12,0.00,-0.22,-215.79,0.00,-100.00,49.70,6
144.,Avana Electrosystems,72.10,19.65,163.27,0.00,5.61,,35.75,,49.55,6
145.,Euro Pratik Sale,241.70,33.79,2470.17,0.00,22.70,-13.59,96.56,10.10,49.53,6
146.,Sanofi India,4065.80,25.36,9363.54,2.88,76.00,15.54,475.40,-9.27,49.16,6
147.,I R C T C,617.80,36.96,49424.00,1.29,341.86,9.69,1145.99,7.71,49.03,6
148.,Defrail Technologies,92.05,23.34,64.66,0.00,,,,,48.81,6
149.,Career Point Edu,204.25,19.00,371.59,1.22,5.07,21.34,11.42,-5.85,48.34,6
150.,Coal India,418.40,8.26,257848.55,6.33,4262.64,-30.76,30186.70,-3.19,48.04,6
151.,Taparia Tools,17.04,0.19,25.86,293.43,40.51,31.70,259.39,15.80,47.88,7
152.,Crizac,225.80,21.89,3951.10,0.00,48.34,138.72,162.25,24.92,47.87,7
153.,Unified Data,365.90,25.03,735.10,0.00,17.27,-21.39,149.03,40.79,47.86,7
154.,P & G Health Ltd,5395.50,29.19,8956.20,2.32,88.54,7.54,324.92,3.67,47.75,7
155.,Indo SMC,140.15,20.75,320.32,0.00,,,,,47.74,7
156.,Canara Robeco,250.35,25.52,4992.42,0.60,52.75,10.22,121.32,25.56,47.72,7
157.,Shine Fashions,35.00,10.01,88.59,0.04,5.01,59.55,43.13,28.06,47.55,7
158.,Repono,61.00,11.00,62.70,0.00,3.23,22.81,30.49,37.84,47.51,7
159.,Sodhani Capital,68.28,24.77,54.25,0.00,1.25,0.00,2.19,11.17,47.30,7
160.,Unifinz Capital,99.05,8.06,438.48,0.10,24.05,391.82,129.07,443.68,47.09,7
161.,Vandan Foods,42.35,3.93,35.51,0.00,4.18,102.91,98.73,82.33,46.58,7
162.,ADC India,1375.60,35.04,632.78,2.18,4.31,-50.57,45.75,-9.92,46.57,7
163.,BSE,2685.40,60.84,109376.09,0.22,557.02,61.05,1068.39,31.36,46.57,7
164.,Greenleaf Envi.,132.45,12.43,78.53,0.00,2.90,,21.08,,46.45,7
165.,Invicta Diagnos.,67.50,18.09,84.86,0.00,,,,,46.45,7
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,7
166.,Monarch Surve.,185.75,6.66,262.95,0.00,14.30,48.34,73.20,44.41,46.40,7
167.,Accretion Pha.,64.05,7.84,71.20,0.00,4.75,93.09,43.74,135.67,46.36,7
168.,Abbott India,27780.00,39.12,59032.50,1.71,415.27,15.80,1757.15,7.62,46.25,7
169.,Renol Polychem,154.00,23.62,122.34,0.00,2.38,8.18,40.06,38.81,46.09,7
170.,Neetu Yoshi,81.40,15.78,315.93,0.00,11.54,45.52,44.15,25.39,46.01,7
171.,Encompass Design,214.00,28.13,303.53,0.00,5.05,,28.16,,45.80,7
172.,Mahalaxmi Seam.,9.45,16.63,4.99,0.00,0.10,66.67,0.45,-8.16,45.71,7
173.,GSM Foils,194.55,19.09,274.17,0.00,4.39,107.08,58.14,86.47,45.64,7
174.,B. D. Industries,108.85,20.33,154.68,0.00,4.46,,47.83,,45.54,7
175.,Stanbik Agro,33.50,11.94,44.64,0.00,,,,,45.43,7
176.,Advani Hotels.,62.14,23.77,574.41,3.06,10.78,-4.95,36.09,2.70,45.29,8
177.,Prizor Viztech,274.20,24.89,293.15,0.00,5.91,38.08,42.01,35.39,45.27,8
178.,Indo Gulf Inds.,2.36,0.60,2.26,0.00,0.67,-61.27,47.22,-8.59,45.19,8
179.,Marico,740.95,57.73,96181.81,1.42,432.00,-0.71,3482.00,30.71,45.16,8
180.,Earkart,165.55,42.01,227.70,0.00,1.85,-44.11,22.29,-5.35,45.13,8
181.,Kore Digital,162.05,4.02,194.85,0.00,10.95,,100.89,,45.01,8
182.,Virtual Galaxy,137.00,9.73,340.70,0.73,22.02,15.11,86.13,20.28,44.99,8
183.,Logiciel Soluti.,48.34,6.60,36.10,0.00,,,,,44.99,8
184.,R M Drip & Sprin,100.78,80.10,2517.48,0.05,10.96,221.41,61.66,80.87,44.66,8
185.,Rama Telecom,65.90,14.42,86.98,0.00,2.42,26.04,22.36,21.65,44.56,8
186.,Sawaliya Food,323.60,46.11,320.95,0.00,4.23,,19.90,,44.37,8
187.,Matrix Geo Sol.,86.50,18.41,126.13,0.00,4.01,33.22,14.06,58.33,44.27,8
188.,Prudent Corp.,2262.10,45.64,9366.61,0.11,53.54,3.92,319.79,11.78,44.06,8
189.,My Money Sec.,40.85,,68.63,0.00,0.32,-67.01,0.28,64.71,44.04,8
190.,Ganesh Housing,720.25,11.40,6005.96,0.69,108.09,-31.80,174.21,-26.56,44.02,8
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,8
191.,Justo Realfin,87.00,11.70,163.54,0.00,5.99,-14.06,36.63,-6.51,44.00,8
192.,Natl. Aluminium,370.65,11.14,68074.76,2.83,1429.94,36.71,4292.34,7.27,43.96,8
193.,Aten Papers,22.20,4.19,22.87,0.00,2.27,-40.58,66.76,14.77,43.87,8
194.,True Colors,179.05,12.13,441.44,0.00,14.72,475.00,151.11,63.20,43.84,8
195.,Kronox Lab,124.37,17.88,461.46,0.40,6.68,3.25,25.53,2.70,43.82,8
196.,Avax Apparels,247.00,13.30,25.67,0.00,1.20,31.87,20.20,34.58,43.81,8
197.,TAC Infosec,667.95,71.80,1404.45,0.00,15.57,78.87,29.49,137.82,43.69,8
198.,HDFC AMC,2429.70,36.20,104066.11,1.85,770.09,20.05,1074.25,14.97,43.33,8
199.,Sonalis Consumer,61.00,6.00,28.97,0.00,2.36,1211.11,87.80,91.24,43.32,8
200.,Mazagon Dock,2301.80,39.78,92850.01,0.75,749.48,28.10,2929.24,6.25,43.19,8
201.,Kaarya Facilit.,26.83,13.56,25.09,0.00,0.46,-17.86,19.76,16.58,43.06,9
202.,Kisaan Parivar,18.76,6.82,16.51,0.00,0.53,-27.40,0.00,,42.98,9
203.,KSE,219.65,5.53,702.88,3.64,32.87,114.84,427.39,3.15,42.92,9
204.,Viviana Power,596.35,25.01,603.79,0.00,5.59,40.91,58.94,40.67,42.88,9
205.,Multi Comm. Exc.,2282.00,62.09,58189.14,0.26,401.12,150.64,665.62,120.86,42.86,9
206.,Shri Gang Indus,66.03,10.81,125.66,0.00,1.70,-90.57,85.84,-11.89,42.66,9
207.,Timex Group,287.60,51.77,2903.32,0.00,30.23,69.74,243.67,39.98,42.56,9
208.,Motherson Wiring,42.98,46.47,28502.88,1.32,165.34,8.72,2761.86,18.76,42.53,9
209.,Oriana Power Ltd,1631.15,14.32,3314.36,0.00,121.63,149.88,781.18,117.27,42.31,9
210.,Austere Sys.,51.10,11.39,53.54,0.00,2.17,520.00,10.34,44.82,42.31,9
211.,Fluidomat,677.90,17.29,334.20,1.11,4.84,-21.56,16.40,-13.68,42.24,9
212.,Mishtann Foods,4.29,1.38,462.30,0.00,95.45,-10.43,386.47,13.05,42.17,9
213.,Sahana Systems,799.30,11.19,706.35,0.13,27.67,95.55,114.16,116.87,42.14,9
214.,Onesource Indus.,5.29,5.63,16.27,0.00,1.42,173.08,31.32,111.05,42.03,9
215.,C D S L,1326.30,58.60,27719.67,0.94,139.94,-13.46,318.89,-1.05,41.96,9
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,9
216.,Prodocs Solution,187.00,25.80,131.84,0.00,,,,,41.88,9
217.,Positron Energy,171.90,7.24,130.65,0.00,5.00,5.26,156.88,124.79,41.81,9
218.,Kimia Bioscien.,30.01,17.36,141.99,0.00,1.02,-36.65,34.00,20.65,41.80,9
219.,Macfos,829.85,43.88,781.45,0.00,5.12,-18.47,68.48,-23.80,41.78,9
220.,Tanfac Inds.,3799.85,50.65,3790.35,0.24,15.57,-55.26,173.30,-2.74,41.76,9
221.,K.P. Energy,293.15,13.34,1981.57,0.22,41.35,56.69,344.96,62.84,41.72,9
222.,Humming Bird Edu,21.10,33.15,12.93,0.00,0.94,-16.33,5.27,5.40,41.69,9
223.,Travel Food,1065.10,39.95,14025.18,0.00,97.90,-10.62,355.89,-28.88,41.69,9
224.,Akzo Nobel,2938.60,34.27,13382.48,3.40,1682.70,-14.84,834.90,-15.01,41.66,9
225.,Frontier Springs,4344.90,33.67,1711.89,0.04,15.71,115.50,82.74,58.38,41.56,9
226.,Guj. Terce Labs.,43.89,,32.57,0.00,1.40,-5.41,12.93,-2.78,41.41,10
227.,Triveni Turbine,462.30,42.97,14696.08,0.87,91.40,0.33,506.20,1.02,41.36,10
228.,Supertech EV,61.84,11.62,76.43,0.00,3.44,13.91,42.55,20.44,41.32,10
229.,Pace Digitek,163.46,14.88,3528.31,0.00,67.87,-32.70,533.45,-36.96,41.31,10
230.,Borana Weaves,328.70,15.02,875.83,0.00,18.55,63.27,111.36,42.04,41.21,10
231.,Premier Energies,683.10,23.25,30944.05,0.15,391.62,53.48,1936.46,13.02,41.12,10
232.,Blue Water,144.00,9.91,158.40,0.00,8.63,156.85,138.27,70.09,41.11,10
233.,Tavernier Res.,62.39,10.72,37.30,0.00,0.59,6000.00,0.71,,41.07,10
234.,Smarten Power,64.65,9.70,122.84,0.00,5.88,-1.84,115.26,6.52,41.01,10
235.,MPS,1798.80,18.74,3076.99,4.61,55.44,28.21,194.44,9.42,40.94,10
236.,Hawkins Cookers,7621.05,35.54,4031.54,1.71,31.95,-6.19,316.47,6.97,40.91,10
237.,Victory Ele.,24.20,11.28,58.30,0.00,0.97,,7.93,,40.91,10
238.,Happy Square,53.10,12.15,61.60,0.00,1.77,-33.08,43.33,-10.90,40.91,10
239.,Schneider Elect.,606.70,59.10,14506.20,0.00,52.32,-3.59,650.14,8.41,40.90,10
240.,Marc Technocrats,49.10,8.99,85.01,0.00,5.76,52.38,32.20,47.98,40.86,10
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,10
241.,Evans Electric,117.95,9.37,64.73,1.27,0.32,-67.35,6.88,44.23,40.82,10
242.,Nippon Life Ind.,823.95,39.33,52493.17,2.18,344.64,-4.29,658.12,15.20,40.69,10
243.,Oracle Fin.Serv.,7956.00,28.36,69230.65,3.33,609.60,12.62,1965.90,14.62,40.60,10
244.,Riddhi Display,40.12,6.80,34.66,0.00,3.19,43.05,14.48,0.77,40.47,10
245.,Solarworld Ene.,241.40,32.71,2092.28,0.00,9.29,-58.28,137.88,-2.86,40.36,10
246.,Danish Power,621.45,18.29,1223.74,0.00,29.31,41.39,211.06,29.18,40.21,10
247.,Jainik Power,118.00,15.48,169.30,0.00,6.17,38.03,184.58,14.43,40.18,10
248.,Action Const.Eq.,791.35,22.54,9423.65,0.25,90.06,-5.01,744.24,-1.65,40.11,10
249.,KPIT Technologi.,1114.50,39.54,30553.33,0.76,169.09,-17.01,1587.71,7.90,40.03,10
250.,Dixon Technolog.,10360.00,48.63,62870.43,0.08,745.70,184.68,14855.04,28.79,39.95,10
251.,Manav Infra,27.55,10.60,36.26,0.00,0.41,95.24,9.43,48.50,39.91,11
252.,Jaro Institute,504.15,22.99,1117.01,0.40,17.02,-15.37,80.41,8.24,39.89,11
253.,Blue Jet Health,432.45,21.29,7501.51,0.28,52.14,-10.64,165.48,-20.54,39.75,11
254.,Nisus Finance,269.55,14.33,643.63,0.00,36.93,67.41,140.38,326.43,39.74,11
255.,Ashoka Buildcon,146.00,2.71,4098.56,0.00,90.69,-54.50,1851.18,-25.62,39.70,11
256.,Sat Kartar,139.00,15.88,218.85,0.50,7.79,103.93,88.35,16.57,39.66,11
